column,count,mean,std,min,25%,50%,75%,max,count,top,freq,unique,unique,type,nulls
X,17488.0,-8838300.697651388,11602.729862195722,-8865305.02239613,-8846498.37366304,-8838365.70562416,-8829649.38949504,-8807929.17572942,null,null,null,"[-8829728.09237504 -8854874.3861088  -8825797.7351136  ...
 -8832407.66383792 -8855649.61504268 -8837578.23154628]",4710,float64,0
Y,17488.0,5420762.85449766,8655.505596248597,5402161.93273075,5413284.18338824,5419555.9327843,5427830.37149081,5443099.14765252,null,null,null,"[5419070.89934805 5414091.15682334 5425917.61920195 ... 5424044.85622993
 5411145.9830746  5411336.75007468]",4283,float64,0
INDEX_,17488.0,36433556.096123055,36950311.28287805,3363207.0,5373755.75,7517348.5,80722548.0,81666944.0,null,null,null,[ 3389067  3389068  3442993 ... 81584314 81584315 81588154],17488,int64,0
ACCNUM,17488.0,2220022610.550892,3215482215.8732953,25301.0,1073992.0,1306973.5,5001556735.0,9085345312.0,null,null,null,[    893184     913296     911336 ... 1001970214 1001982074 1001983260],6263,int64,0
YEAR,17488.0,2012.5691903019213,4.479841684028977,2006.0,2009.0,2012.0,2016.0,2021.0,null,null,null,"[2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019
 2020 2021]",16,int64,0
TIME,17488.0,1359.0089775846295,629.1613680785192,0.0,920.0,1445.0,1848.0,2359.0,null,null,null,[ 236 2040 1000 ... 2113 1926 1201],1317,object,0
WARDNUM,16963.0,2571.595885161823,186475.7766976862,1.0,7.0,13.0,22.0,17162221.0,null,null,null,"[1.9000000e+01 2.0000000e+00 2.1000000e+01 1.0000000e+01 8.1500000e+02
 5.0000000e+00 4.0000000e+00 1.0000000e+00 1.8000000e+01 1.7000000e+01
 3.0000000e+00 2.4000000e+01 1.6210000e+03 8.0000000e+00 1.2000000e+01
 2.5000000e+01 1.1000000e+01 9.0000000e+00 8.1200000e+02 1.5000000e+01
 2.3000000e+01 1.3000000e+01 6.0000000e+00 1.4000000e+01 1.0130000e+03
 2.3250000e+03 2.1200000e+03 1.6000000e+01 2.0000000e+01 7.0000000e+00
 2.2000000e+01 9.1110000e+04 2.2230000e+03 4.1000000e+02 1.5160000e+03
 7.6000000e+01 2.4250000e+03 2.1240000e+03 1.1100000e+03 9.1100000e+02
 1.1130000e+03 9.1200000e+02 1.7220000e+03 5.9000000e+01 8.9000000e+01
 9.1000000e+02 1.9200000e+03 1.8170000e+03 6.1800000e+02 1.4190000e+03
 1.3140000e+03 1.1150000e+03 2.0240000e+03 1.2150000e+03 1.6200000e+03
 5.4000000e+01 1.1101300e+05 1.0140000e+03 1.6212000e+05 8.9120000e+03
 2.3240000e+03 1.2110000e+03 1.6192000e+05 3.4000000e+01 4.9100000e+03
 2.1230000e+03 4.9000000e+01 1.7162221e+07 9.1211000e+04 7.0600000e+02
 1.6190000e+03           nan]",71,int64,0
LATITUDE,17488.0,43.71055616016685,0.05619630955545425,43.589678,43.662001,43.702745,43.756457,43.855445,null,null,null,[43.699595 43.667245 43.744045 ... 43.73189  43.648104 43.649344],4283,object,0
LONGITUDE,17488.0,-79.39580602344618,0.10422909572720336,-79.63839,-79.469447,-79.39639,-79.31809,-79.122974,null,null,null,[-79.318797 -79.54469  -79.28349  ... -79.342868 -79.551654 -79.389316],4710,object,1592
FATAL_NO,773.0,29.39974126778784,17.97405585478121,1.0,14.0,28.0,43.0,78.0,null,null,null,"[nan  1.  2.  3.  4. 23. 24. 25. 27. 28. 29. 30. 31. 15. 43. 44. 46. 45.
 47. 48. 49. 32. 16. 17. 18. 19. 20. 21. 33. 34.  5.  6.  7.  8. 12. 10.
  9. 11. 13. 22. 14. 38. 39. 40. 41. 42. 35. 36. 37. 26. 50. 51. 52. 53.
 54. 57. 56. 58. 59. 60. 61. 62. 63. 55. 65. 64. 78. 71. 72. 73. 74. 75.
 76. 77. 66. 67. 68. 69. 70.]",78,object,14460
